symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
PIH,1347 Property Insurance Holdings Inc.,7.1,42293038.6,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,1
TURN,180 Degree Capital Corp.,1.5979,49729143.9198,n/a,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn,2
FLWS,1-800 FLOWERS.COM Inc.,10.5,688475109,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,3
FCCY,1st Constitution Bancorp (NJ),18,144492156,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,4
SRCE,1st Source Corporation,48.7,1262481268,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,5
VNET,21Vianet Group Inc.,5.2,301415223.2,57964466,n/a,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/vnet,6
TWOU,2U Inc.,42.88,2038287121.28,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,7
JOBS,51job Inc.,42.5,1138718267.5,26793371,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,8
CAFD,8point3 Energy Partners LP,12.74,1007439795.18,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,9
EGHT,8x8 Inc,13.2,1200313461.6,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,10
AVHI,A V Homes Inc.,17.15,384880111.35,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,11
SHLM,A. Schulman Inc.,30.4,896406593.6,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,12
AAON,AAON Inc.,36.25,1907832497.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,13
ABAX,ABAXIS Inc.,47.68,1074707200,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,14
ABEO,Abeona Therapeutics Inc.,5.55,223415705.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,15
ABEOW,Abeona Therapeutics Inc.,2.77,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,16
ABIL,Ability Inc.,0.79,20347352.18,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/abil,17
ABMD,ABIOMED Inc.,133.03,5792038400.2,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,18
AXAS,Abraxas Petroleum Corporation,1.72,281812118.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,19
ACIU,AC Immune SA,9,512300178,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,20
ACIA,Acacia Communications Inc.,47.52,1832911644.96,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,21
ACTG,Acacia Research Corporation,4.85,247993323.4,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,22
ACHC,Acadia Healthcare Company Inc.,44.99,3950927905.87,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,23
ACAD,ACADIA Pharmaceuticals Inc.,32.74,3994955360.72,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,24
ACST,Acasti Pharma Inc.,1.33,19554399.48,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,25
AXDX,Accelerate Diagnostics Inc.,29.5,1533685648,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,26
ACCP,Accelerated Pharma Inc.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp,27
XLRN,Acceleron Pharma Inc.,31.66,1222515820.72,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,28
ANCX,Access National Corporation,28.84,310510993.52,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,29
ARAY,Accuray Incorporated,4.15,344023824.05,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,30
ACRX,AcelRx Pharmaceuticals Inc.,2.7,122528006.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,31
ACET,Aceto Corporation,14.285,430174790.185,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,32
